ImageId,Label
1,2
2,0
3,9
4,6
5,5
6,6
7,0
8,3
9,0
10,3
11,5
12,7
13,3
14,0
15,4
16,9
17,6
18,5
19,9
20,0
21,9
22,1
23,8
24,5
25,7
26,9
27,2
28,0
29,9
30,7
31,7
32,0
33,9
34,2
35,6
36,2
37,9
38,5
39,3
40,0
41,7
42,9
43,4
44,9
45,5
46,3
47,4
48,3
49,6
50,9
51,6
52,0
53,3
54,3
55,9
56,6
57,1
58,9
59,9
60,0
61,9
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,6
71,6
72,5
73,9
74,9
75,2
76,0
77,6
78,9
79,2
80,3
81,5
82,9
83,1
84,0
85,9
86,2
87,5
88,5
89,6
90,9
91,5
92,5
93,6
94,6
95,5
96,4
97,3
98,9
99,7
100,4
101,0
102,9
103,2
104,0
105,7
106,9
107,0
108,6
109,6
110,9
111,0
112,0
113,9
114,9
115,1
116,2
117,1
118,1
119,5
120,3
121,3
122,7
123,2
124,5
125,6
126,3
127,3
128,7
129,9
130,9
131,6
132,5
133,2
134,0
135,0
136,0
137,3
138,1
139,9
140,6
141,5
142,3
143,9
144,5
145,5
146,9
147,7
148,3
149,2
150,8
151,4
152,3
153,5
154,6
155,3
156,3
157,7
158,5
159,7
160,6
161,3
162,0
163,9
164,9
165,1
166,8
167,9
168,6
169,6
170,0
171,3
172,7
173,9
174,6
175,1
176,9
177,7
178,4
179,1
180,2
181,4
182,9
183,3
184,4
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,2
193,4
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,5
202,9
203,0
204,9
205,9
206,0
207,9
208,4
209,6
210,6
211,6
212,9
213,3
214,6
215,9
216,9
217,1
218,6
219,3
220,9
221,2
222,3
223,1
224,3
225,2
226,8
227,9
228,6
229,9
230,0
231,5
232,6
233,9
234,1
235,5
236,5
237,5
238,3
239,3
240,6
241,6
242,6
243,2
244,9
245,5
246,5
247,9
248,6
249,5
250,9
251,9
252,7
253,1
254,5
255,5
256,9
257,5
258,1
259,4
260,5
261,6
262,3
263,2
264,9
265,7
266,0
267,6
268,5
269,6
270,1
271,6
272,0
273,6
274,3
275,9
276,9
277,1
278,9
279,8
280,9
281,0
282,9
283,6
284,9
285,5
286,3
287,7
288,9
289,9
290,9
291,5
292,9
293,7
294,9
295,9
296,6
297,3
298,5
299,3
300,5
301,6
302,9
303,8
304,2
305,6
306,9
307,6
308,1
309,4
310,5
311,9
312,5
313,9
314,0
315,5
316,3
317,9
318,2
319,1
320,5
321,9
322,1
323,1
324,4
325,8
326,9
327,9
328,1
329,9
330,9
331,6
332,3
333,1
334,3
335,0
336,9
337,0
338,5
339,6
340,2
341,6
342,2
343,1
344,6
345,1
346,0
347,9
348,5
349,3
350,5
351,6
352,7
353,7
354,2
355,9
356,9
357,9
358,9
359,9
360,9
361,5
362,6
363,5
364,9
365,9
366,2
367,3
368,9
369,1
370,6
371,4
372,2
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,9
381,6
382,5
383,5
384,9
385,6
386,6
387,2
388,1
389,5
390,0
391,1
392,7
393,0
394,9
395,6
396,6
397,1
398,1
399,7
400,3
401,9
402,9
403,6
404,1
405,1
406,1
407,9
408,3
409,5
410,9
411,5
412,5
413,4
414,2
415,6
416,9
417,1
418,1
419,3
420,6
421,9
422,6
423,6
424,9
425,3
426,1
427,4
428,7
429,9
430,9
431,4
432,9
433,3
434,3
435,0
436,1
437,9
438,9
439,5
440,0
441,5
442,4
443,9
444,9
445,3
446,4
447,1
448,5
449,3
450,9
451,4
452,3
453,6
454,9
455,3
456,9
457,2
458,5
459,9
460,6
461,6
462,7
463,9
464,5
465,5
466,1
467,7
468,5
469,9
470,1
471,1
472,4
473,9
474,5
475,6
476,3
477,9
478,6
479,1
480,0
481,4
482,8
483,1
484,2
485,9
486,9
487,9
488,9
489,3
490,7
491,0
492,4
493,3
494,6
495,7
496,9
497,5
498,3
499,4
500,0
501,6
502,6
503,9
504,0
505,1
506,2
507,5
508,9
509,6
510,2
511,7
512,5
513,8
514,7
515,3
516,8
517,1
518,3
519,4
520,2
521,9
522,9
523,0
524,7
525,9
526,1
527,0
528,1
529,1
530,7
531,0
532,9
533,5
534,8
535,9
536,5
537,6
538,9
539,4
540,9
541,0
542,2
543,8
544,2
545,0
546,6
547,0
548,9
549,6
550,1
551,1
552,3
553,0
554,3
555,0
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,5
564,1
565,6
566,9
567,4
568,1
569,2
570,9
571,5
572,5
573,3
574,3
575,0
576,4
577,9
578,6
579,4
580,4
581,9
582,1
583,9
584,9
585,9
586,1
587,7
588,5
589,9
590,6
591,5
592,9
593,5
594,5
595,2
596,6
597,6
598,6
599,0
600,0
601,1
602,1
603,9
604,1
605,6
606,3
607,5
608,5
609,6
610,9
611,7
612,4
613,9
614,3
615,4
616,4
617,4
618,0
619,0
620,9
621,3
622,5
623,9
624,7
625,0
626,3
627,9
628,5
629,6
630,9
631,6
632,1
633,9
634,6
635,1
636,4
637,7
638,7
639,9
640,3
641,5
642,9
643,9
644,6
645,0
646,7
647,4
648,9
649,1
650,9
651,9
652,9
653,0
654,0
655,9
656,3
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,9
667,1
668,9
669,5
670,6
671,6
672,9
673,4
674,3
675,5
676,9
677,7
678,9
679,6
680,0
681,6
682,9
683,6
684,1
685,1
686,3
687,9
688,6
689,9
690,9
691,2
692,6
693,0
694,1
695,8
696,9
697,3
698,4
699,9
700,9
701,4
702,0
703,4
704,0
705,6
706,9
707,9
708,4
709,6
710,5
711,9
712,5
713,1
714,9
715,3
716,6
717,9
718,3
719,7
720,2
721,9
722,3
723,1
724,0
725,1
726,6
727,6
728,9
729,9
730,5
731,9
732,1
733,3
734,6
735,9
736,7
737,1
738,0
739,1
740,9
741,4
742,9
743,6
744,9
745,3
746,4
747,9
748,7
749,4
750,6
751,5
752,9
753,5
754,4
755,2
756,6
757,4
758,1
759,1
760,6
761,9
762,0
763,4
764,0
765,4
766,0
767,0
768,3
769,1
770,8
771,6
772,5
773,0
774,1
775,0
776,3
777,9
778,6
779,3
780,1
781,1
782,0
783,9
784,6
785,3
786,5
787,3
788,9
789,4
790,6
791,9
792,6
793,9
794,0
795,9
796,3
797,1
798,6
799,9
800,9
801,5
802,1
803,3
804,3
805,1
806,9
807,9
808,6
809,9
810,1
811,5
812,9
813,7
814,3
815,9
816,4
817,0
818,0
819,9
820,6
821,3
822,0
823,5
824,0
825,1
826,9
827,0
828,4
829,5
830,2
831,1
832,6
833,8
834,9
835,3
836,5
837,6
838,1
839,5
840,3
841,2
842,9
843,0
844,5
845,4
846,6
847,9
848,2
849,5
850,9
851,5
852,9
853,9
854,7
855,2
856,4
857,3
858,9
859,9
860,5
861,0
862,9
863,1
864,4
865,9
866,6
867,0
868,9
869,3
870,3
871,9
872,5
873,9
874,3
875,9
876,9
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,9
885,2
886,7
887,1
888,5
889,4
890,9
891,1
892,9
893,6
894,0
895,4
896,2
897,9
898,9
899,5
900,1
901,5
902,3
903,9
904,7
905,9
906,0
907,3
908,3
909,2
910,7
911,6
912,0
913,4
914,9
915,1
916,6
917,4
918,6
919,1
920,5
921,9
922,3
923,5
924,9
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,5
933,1
934,4
935,2
936,9
937,7
938,7
939,9
940,5
941,6
942,2
943,4
944,1
945,9
946,9
947,9
948,2
949,9
950,3
951,6
952,0
953,5
954,2
955,3
956,2
957,4
958,3
959,6
960,9
961,7
962,9
963,4
964,0
965,9
966,3
967,1
968,8
969,9
970,5
971,5
972,2
973,9
974,6
975,7
976,0
977,9
978,0
979,7
980,6
981,9
982,8
983,7
984,4
985,7
986,9
987,0
988,5
989,3
990,2
991,1
992,9
993,9
994,6
995,8
996,3
997,6
998,2
999,1
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,3
1007,4
1008,6
1009,5
1010,9
1011,2
1012,6
1013,3
1014,4
1015,3
1016,7
1017,2
1018,3
1019,4
1020,5
1021,4
1022,9
1023,9
1024,6
1025,6
1026,6
1027,1
1028,9
1029,5
1030,1
1031,9
1032,5
1033,3
1034,9
1035,9
1036,5
1037,4
1038,5
1039,9
1040,0
1041,1
1042,6
1043,1
1044,9
1045,2
1046,2
1047,9
1048,3
1049,4
1050,6
1051,2
1052,6
1053,3
1054,9
1055,9
1056,1
1057,1
1058,3
1059,6
1060,5
1061,9
1062,0
1063,6
1064,0
1065,9
1066,4
1067,9
1068,0
1069,5
1070,9
1071,5
1072,9
1073,9
1074,6
1075,9
1076,2
1077,6
1078,1
1079,2
1080,9
1081,0
1082,0
1083,2
1084,6
1085,7
1086,9
1087,6
1088,6
1089,3
1090,1
1091,3
1092,5
1093,0
1094,1
1095,7
1096,6
1097,9
1098,3
1099,9
1100,3
1101,4
1102,2
1103,4
1104,1
1105,9
1106,2
1107,0
1108,6
1109,9
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,5
1117,4
1118,6
1119,6
1120,9
1121,2
1122,4
1123,4
1124,1
1125,6
1126,3
1127,6
1128,6
1129,1
1130,2
1131,0
1132,5
1133,2
1134,0
1135,3
1136,6
1137,5
1138,9
1139,7
1140,7
1141,6
1142,0
1143,5
1144,1
1145,2
1146,3
1147,4
1148,5
1149,5
1150,3
1151,6
1152,7
1153,5
1154,4
1155,4
1156,9
1157,9
1158,1
1159,5
1160,0
1161,9
1162,1
1163,9
1164,0
1165,6
1166,5
1167,9
1168,9
1169,4
1170,5
1171,4
1172,9
1173,9
1174,1
1175,6
1176,6
1177,2
1178,9
1179,4
1180,5
1181,3
1182,6
1183,9
1184,9
1185,0
1186,7
1187,6
1188,3
1189,0
1190,4
1191,7
1192,6
1193,3
1194,5
1195,8
1196,9
1197,3
1198,2
1199,5
1200,6
1201,4
1202,4
1203,3
1204,0
1205,1
1206,9
1207,9
1208,6
1209,9
1210,6
1211,6
1212,9
1213,4
1214,4
1215,5
1216,9
1217,6
1218,7
